wl,pero,si
300,0.0380270248578849,3.91773546726062e-14
310,0.0641303635456156,6.64418252854596e-14
320,0.0993919139164421,1.88400931725846e-13
330,0.133701447084268,7.03563870561066e-13
340,0.162154790502158,3.6074149778615896e-12
350,0.214534642674194,3.6689396932419795e-11
360,0.30141493144674,3.94829217747948e-10
370,0.408216608772335,7.11171989857011e-09
380,0.515847839927366,1.25911237905183e-07
390,0.602824068388173,9.14989277184102e-07
400,0.66254766815463,3.39426884366917e-06
410,0.695993351722391,8.12057631315449e-06
420,0.710069563858161,1.1983985461853e-05
430,0.714662474841547,1.59758555865783e-05
440,0.715892614586085,2.15329499896068e-05
450,0.719787708627006,3.51739751381865e-05
460,0.730267413663141,6.94191877169284e-05
470,0.744539649676127,0.0001676831830916
480,0.758200115049182,0.0004846267740595
490,0.771361190410236,0.0011737255106454
500,0.786685234496392,0.0024411438446445
510,0.806480166779075,0.0046030140383856
520,0.827760028191433,0.0082316764039082
530,0.843178459300326,0.0134594830143065
540,0.851407901621461,0.0196290543377
550,0.85511067704485,0.0267643762032565
560,0.856651409032842,0.0345368358649592
570,0.855632430150971,0.0430516941361061
580,0.849707904699742,0.0538516839275472
590,0.838385552165003,0.0664807911787983
600,0.822675472748466,0.0801394883455025
610,0.808124466709186,0.0917566045892494
620,0.795946902799133,0.106218943634283
630,0.790408873173644,0.120874240927655
640,0.788564682830531,0.134576353184065
650,0.786672137528923,0.146780466553726
660,0.782267163247479,0.158697369523641
670,0.774069562322855,0.170663027980575
680,0.763674334092887,0.18146925547262
690,0.751562855824301,0.192047145244926
700,0.740586797906727,0.200628430900548
710,0.723946555463011,0.215695898279418
720,0.683504442472828,0.255399362672351
730,0.56404626744179,0.373375845196424
740,0.342568493244546,0.588919098912239
750,0.15297319362435,0.775011357423375
760,0.0499333651252238,0.881670789789988
770,0.0030236699814085,0.936033828334513
780,8.072438996953891e-17,0.946280182365141
790,-3.22781301614411e-17,0.950606527475631
800,1.61313647159334e-17,0.951754999013732
810,5.3742726198825997e-17,0.949971997866756
820,-4.83449580991341e-17,0.947066460641029
830,5.36881012102106e-17,0.943896535065141
840,1.61060276772798e-17,0.941328566040645
850,2.68307538456664e-17,0.939528163790457
860,1.07200369098071e-17,0.938592602841984
870,-3.21645913181439e-17,0.938388064161408
880,5.35533182321328e-18,0.938553943496976
890,1.07027833681046e-17,0.938588941775064
900,-5.3463360766492104e-17,0.938065295827952
910,-1.06805368466663e-17,0.938234447147145
920,-2.66430973200654e-17,0.935748909362061
930,-2.12791671424853e-17,0.932633825114001
940,-1.06314825485042e-17,0.930629000467765
950,2.1365423837822e-17,0.927591683531654
960,2.6637986682906902e-17,0.925782154950736
970,2.24232578274061e-17,0.918478581893877
980,-5.33643506762973e-17,0.911228919075312
990,-6.10835227677198e-17,0.900044449897501
1000,-3.0212702268690004e-17,0.879315629877644
1010,-3.40600173983003e-17,0.858685047442694
1020,-3.1875575246060903e-17,0.835860148166697
1030,-5.07465933893573e-17,0.816905544819452
1040,5.49726957252577e-19,0.762468006661038
1050,-3.78911477045786e-17,0.744506551553135
1060,1.58775906472986e-18,0.674639908280438
1070,-2.27252677010316e-17,0.576250989583854
1080,-2.0821517649889602e-17,0.555649076123371
1090,7.231424410194359e-18,0.513035372252209
1100,3.76958715508184e-17,0.476661169069286
1110,-2.97060978761363e-17,0.416248162098506
1120,-2.2847463532114898e-18,0.351809623416837
1130,2.47833584916116e-17,0.274987864407713
1140,-2.3048981942277e-17,0.209548614114248
1150,-9.98392257489147e-17,0.146127252584636
1160,9.35557475030688e-17,0.0953722720442678
1170,-2.6972444658633202e-17,0.0592934238668364
1180,-1.0677194335692099e-16,0.015685773828192
1190,-1.3487013551631801e-17,0.0099348296427633
1200,1.6244972338062e-17,0.005680179620345
1210,2.8031823972342e-17,0.0028756551670142
1220,-2.63949529490854e-17,0.002023468583919
1230,-7.10617114939162e-17,0.001046962841012
1240,3.30337769396753e-17,0.0005439571774424
