voltage,current
0.0128656261727632,-22.0556745182013
0.099463564317093,-22.0556745182013
0.216998167729972,-22.0021413276231
0.32215280690523,-22.0021413276231
0.417015828163977,-21.8950749464668
0.520126272103137,-21.7880085653105
0.635599019845913,-21.7344753747323
0.738691803351067,-21.7344753747323
0.819139495353098,-21.5203426124197
0.887233713768516,-21.1991434689507
0.949292478862668,-19.9678800856531
0.995085984238063,-17.3447537473233
1.02441113490364,-14.5610278372591
1.04759486964392,-11.5096359743041
1.06659308152498,-8.83297644539614
1.07937923574472,-6.3169164882227
1.09216538996446,-3.80085653104925
1.10283670721208,-1.60599571734475
1.11341089207267,0
