# I. Subedi, T. J. Silverman, M. G. Deceglie, and N. J. Podraza, PERC silicon PV infrared to ultraviolet optical model, Sol. Energ. Mat. Sol. C. 215, 110655 (2020).,
# Digitized graph 5b, simulted curve with scattering,
wl,R
301.5,0.001
324.0,0.042
350.2,0.049
361.4,0.063
365.2,0.075
383.9,0.083
417.6,0.068
466.3,0.058
530.0,0.053
601.1,0.054
717.2,0.054
803.4,0.053
919.5,0.054
956.9,0.054
1013.1,0.056
1043.1,0.071
1069.3,0.091
1084.3,0.115
1103.0,0.144
1106.7,0.174
1118.0,0.205
1125.5,0.232
1136.7,0.268
1140.4,0.287
1159.2,0.314
1192.9,0.285
1219.1,0.279
1234.1,0.298
1279.0,0.322
1339.0,0.330
1376.4,0.311
1421.3,0.287
1485.0,0.314
1541.2,0.310
1601.1,0.311
1634.8,0.311
1687.3,0.269
1721.0,0.174
1739.7,0.182
1765.9,0.183
1777.2,0.204
1799.6,0.208
1822.1,0.201
1837.1,0.231
1855.8,0.223
1897.0,0.238
1927.0,0.227
1979.4,0.230
1998.1,0.220
2031.8,0.230
2103.0,0.215
2140.4,0.204
2159.2,0.208
2204.1,0.194
2230.3,0.173
2237.8,0.147
2249.1,0.122
2267.8,0.098
2279.0,0.064
2305.2,0.042
2320.2,0.049
2365.2,0.048
2398.9,0.041
2436.3,0.050
2477.5,0.058
2500.0,0.064
